id,round,type,question,image,sound,video,A,B,C,D,correct,base_point,bet_options,bonus_point,explanation,explanation_image
20,normal,mcq,Dưa hấu ban đầu có màu gì,,,,Màu Trắng,Màu Vàng,Màu Đỏ,Màu Xanh lá,B,10,,,"Trước đây dưa hấu hoang dại ở châu Phi thường có màu nhạt hoặc vàng, vị không ngọt. Khi được trồng và chọn giống qua nhiều thế hệ, ruột dưa dần đỏ hơn và ngọt hơn.",duahau.jpg
21,normal,fill,G/Ắ/N/L/O/L,,,,,,,,Lo lắng,10,,,,
22,normal,mcq,Đây là giọng của dân tộc nào ???,,chua_tay_dau.mp3,,Dân tộc Tày,Dân tộc Kinh,Dân tộc Chăm,Dân tộc Nùng,A,10,,,Alo Vũ à Vũ,vu_a_vu.png
23,normal,mcq,Đây là bài ???,,Orange.mp3,,Red,Orange,Blue,Pink,B,10,,,"Bài hát Orange của nhóm 7!! là một ca khúc J-Pop nhẹ nhàng, mang giai điệu trong trẻo và cảm xúc về tình bạn, tuổi trẻ và những kỷ niệm không thể quên.",
24,normal,mcq,Trái nào thướng được dùng làm thạch rau câu tự nhiên??,,,,Xoài,Nha đam,Dừa,Dưa hấu,C,10,,,Dừa thường được dùng để làm thạch rau câu tự nhiên vì nước dừa có vị ngọt mát.,dua.jpg
25,bet,fill,B/Ố/C/T/Ứ/T,,,,,,,,Bức tốc,0,5.0,8.0,,
26,bet,mcq,Thẻ HTML nào sau dùng để tạo liên kết ??,,,,<img>,<a>,<p>,<div>,B,0,10.0,6.0,"Trong HTML, thẻ <a> (anchor) được dùng để tạo liên kết (hyperlink) dẫn tới trang web khác, file khác hoặc một vị trí khác trong cùng trang.",
27,normal,mcq,Nhạc này tên là ???,,camconku.mp3,,Đời chơi dell đẹp,Sự nghiệp chướng,Hận,Nghiệp của tao,D,10,,,AI đoán đúng ko =))),
28,normal,mcq,Khô gà được làm từ ??,kho_ga.jpg,,,Bã mía,Ức gà,Bã sắn dây,Bìa carton,B,10,,,,
29,normal,fill,C/Á/I/L/Ồ/C/Ó/N,,,,,,,,Nồi cá lóc,10,,,,
30,normal,mcq,Chợ nổi Cái Răng ở tỉnh nào ??,,,,Cần Thơ,Sóc Trăng,Vĩnh Long,An Giang,A,10,,,Chợ nổi Cái Răng nằm ở thành phố Cần Thơ và là một trong những chợ nổi nổi tiếng nhất miền Tây Nam Bộ.,chonoi.jpg
31,normal,mcq,Quả nào thường dùng giúp loại bỏ mùi hôi của hành tỏi trên tay???,,,,Khế,Chanh,Quất,Sầu riêng,B,10,,,Chanh giúp loại bỏ mùi hôi của hành và tỏi trên tay nhờ tính axit và mùi thơm tự nhiên.,
32,bet,fill,C/Ọ/N/Ồ/L,,,,,,,,Lọ cồn,0,8.0,12.0,,
33,bet,mcq,"Trong JavaScript, lệnh nào dùng để in ra console?",,,,print(),echo(),console.log(),show(),C,0,9.0,5.0,"console.log() là lệnh trong JavaScript dùng để in thông tin ra bảng Console của trình duyệt. Dev thường dùng nó để kiểm tra dữ liệu, debug và tìm lỗi trong code.",
34,normal,mcq,Nước mắm Phú Quốc nối tiếng vì điều gì ??,,,,Làm từ Thịt tôm,Thơm ngon,Chưng từ vi cá,Đóng chai thủy tinh đẹp,B,10,,,Thơn ngon thì mới nổi chứ,
35,bet,mcq,Kiwi có nguồn gốc từ đâu ??,,,,Mỹ,New Zealand,Ý,Trung Quốc,D,0,6.0,12.0,"Kiwi có nguồn gốc từ Trung Quốc, sau đó được trồng phổ biến và phát triển mạnh ở New Zealand.",
36,bet,mcq,HTML là viết tắt của gì?,,,,HyperText Markup Language,HighText Machine Language,Hyper Transfer Markup Language,Home Tool Markup Language,A,0,5.0,8.0,"HTML là HyperText Markup Language, ngôn ngữ dùng để tạo cấu trúc cho website như tiêu đề, đoạn văn, hình ảnh, liên kết.",
37,bet,fill,C/U/C/H/ỉ/N/H,,,,,,,,Chỉn chu,0,4.0,8.0,"Chỉn chu là từ dùng để chỉ sự cẩn thận, gọn gàng và làm mọi thứ một cách kỹ lưỡng, tươm tất.",
38,bet,mcq,Ai là người sở hữu biệt danh chân gỗ ???,,,,CR7,Bùi Kim Đạt,Phan Như Nhật,M10,C,0,8.0,11.0,,
39,bet,mcq,Loại trái nào giàu vitamin C nhất ??,,,,Cam,Quýt,Ổi,Chanh,C,0,7.0,12.0,"Ổi là loại trái cây rất giàu vitamin C, thậm chí nhiều hơn cả cam.",
40,bet,mcq,Găng tay vàng trong làng bắt gôn là ??,,,,Trương Công Hiện,Nguyễn Phương Nguyên,Hà Nguyên Vũ,Nguyễn Như Quang,D,0,10.0,15.0,,
41,bet,mcq,Con gái nói không sao đâu có nghĩa là gì ???,,,,Thật sự không sao,Đang rất sao,Muốn nói chuyện,Muốn ăn,,0,,,Này hỏi thật ấu Con gái nói không sao đâu nghĩa là gì ???,
